Time   Number   
ps   
6800          14          16
6810          14          20
6820          12          12
6830          11          19
6840           9          13
6850           9          13
6860          11          13
6870          15          15
6880          13          15
6890          12          12
6900          11          13
6910          12          18
6920          15          19
6930          13          17
6940          13          19
6950          12          16
6960          13          13
6970          10          18
6980          10          16
6990          11          17
7000          13          17
7010          13          21
7020          14          20
7030          16          18
7040          17          21
7050          13          23
7060          14          20
7070          13          17
7080          16          18
7090          14          18
7100          14          18
7110          12          18
7120          15          17
7130          16          22
7140          16          16
7150          15          19
7160          17          17
7170          15          17
7180          15          19
7190          15          17
7200          16          16
7210          15          17
7220          16          16
7230          13          15
7240          12          14
7250          14          14
7260          13          21
7270          13          17
7280          13          15
7290          14          18
7300          12          18
7310          12          22
7320          10          18
7330          10          14
7340          11          15
7350          12          12
7360           9          13
7370          11          13
7380          13          15
7390          12          18
7400          14          14
7410          13          13
7420          14          18
7430          14          16
7440          15          15
7450          14          14
7460          17          17
7470          15          21
7480          15          15
7490          15          17
7500          17          21
7510          16          20
7520          15          15
7530          10          20
7540          13          15
7550          13          13
7560          13          15
7570          16          16
7580          15          19
7590          15          19
7600          12          20
7610          18          22
7620          15          23
7630          15          17
7640          14          20
7650          16          20
7660          16          18
7670          17          21
7680          18          18
7690          16          18
7700          17          17
7710          18          22
7720          17          23
7730          13          17
7740          13          23
7750          15          25
7760          17          21
7770          15          19
7780          16          20
7790          13          23
7800          17          29
7810          16          22
7820          19          19
7830          18          22
7840          17          23
7850          17          21
7860          17          19
7870          16          22
7880          15          21
7890          17          21
7900          15          17
7910          19          21
7920          16          18
7930          17          19
7940          15          19
7950          17          21
7960          16          18
7970          15          19
7980          15          19
7990          17          17
8000          14          16
8010          16          18
8020          17          25
8030          16          28
8040          16          20
8050          18          22
8060          19          19
8070          19          23
8080          16          20
8090          17          19
8100          18          22
8110          20          20
8120          21          23
8130          20          26
8140          17          21
8150          20          20
8160          19          21
8170          20          22
8180          19          19
8190          19          23
8200          21          23
8210          19          21
8220          24          30
8230          19          27
8240          19          21
8250          20          24
8260          21          29
8270          19          21
8280          18          28
8290          17          23
8300          15          23
8310          16          18
8320          17          19
8330          15          19
8340          16          16
8350          16          18
8360          16          18
8370          18          18
8380          18          18
8390          18          18
8400          19          21
8410          16          18
8420          15          17
8430          17          17
8440          17          19
8450          21          23
8460          20          20
8470          19          21
8480          19          19
8490          20          20
8500          17          23
8510          17          21
8520          15          23
8530          17          21
8540          17          19
8550          15          17
8560          16          20
8570          19          21
8580          15          21
8590          17          21
8600          16          20
8610          13          19
8620          16          22
8630          16          18
8640          16          24
8650          14          16
8660          17          17
8670          16          20
8680          17          19
8690          17          19
8700          15          19
8710          15          21
8720          18          20
8730          14          16
8740          16          18
8750          13          17
8760          16          20
8770          16          18
8780          13          15
8790          15          17
8800          16          18
8810          13          15
8820          14          22
8830          18          24
8840          17          19
8850          17          17
8860          15          17
8870          15          21
8880          14          18
8890          12          24
8900          17          19
8910          14          22
8920          14          22
8930          15          19
8940          15          21
8950          15          17
8960          13          19
8970          14          18
8980          17          17
8990          17          17
9000          14          16
9010          17          19
9020          18          20
9030          18          18
9040          15          21
9050          16          20
9060          18          18
9070          18          18
9080          18          22
9090          15          19
9100          17          21
9110          19          23
9120          17          21
9130          19          21
9140          18          18
9150          19          21
9160          17          17
9170          18          18
9180          14          18
9190          19          21
9200          19          21
9210          18          24
9220          19          25
9230          18          22
9240          19          21
9250          19          23
9260          18          24
9270          19          19
9280          19          23
9290          17          21
9300          17          23
9310          19          21
9320          19          21
9330          21          21
9340          20          20
9350          21          23
9360          17          23
9370          19          27
9380          18          24
9390          21          25
9400          20          28
9410          20          24
9420          19          21
9430          20          24
9440          17          35
9450          21          25
9460          21          25
9470          18          24
9480          21          25
9490          19          21
9500          17          25
9510          16          28
9520          19          21
9530          18          22
9540          20          24
9550          19          23
9560          18          20
9570          22          24
9580          19          23
9590          20          22
9600          19          19
9610          17          25
9620          19          27
9630          18          20
9640          18          20
9650          19          21
9660          17          33
9670          20          24
9680          15          19
9690          18          24
9700          18          26
9710          18          22
9720          18          20
9730          19          19
9740          17          27
9750          18          24
9760          19          21
9770          17          25
9780          17          25
9790          19          21
9800          17          23
9810          20          24
9820          15          25
9830          19          23
9840          17          19
9850          18          28
9860          19          23
9870          18          22
9880          15          25
9890          17          23
9900          15          23
9910          15          27
9920          15          21
9930          15          17
9940          18          20
9950          17          21
9960          15          17
9970          18          20
9980          16          16
9990          17          19
10000          17          17
