Time   Number   
ps   
6730           9          15
6740          10          14
6750          12          18
6760           8          12
6770          10          14
6780          10          12
6790          11          17
6800           8          12
6810           8          12
6820           7          11
6830           9          11
6840           9          11
6850          10          18
6860           9          17
6870          12          14
6880          12          18
6890          10          16
6900           9          17
6910          12          14
6920          12          16
6930          10          12
6940           7          13
6950           8          12
6960          10          16
6970           9          15
6980           8          12
6990           6          14
7000           8          16
7010           7          15
7020           6          14
7030           9          11
7040          11          13
7050           9          15
7060           8          14
7070           7          15
7080          10          14
7090          11          13
7100          11          17
7110          11          15
7120           9          11
7130           9          11
7140           8          10
7150          12          16
7160          11          17
7170          12          14
7180          12          20
7190          13          19
7200           9          11
7210          12          12
7220          10          16
7230          11          13
7240          11          13
7250          10          12
7260          10          16
7270          11          13
7280          11          13
7290          13          15
7300          11          13
7310           8          12
7320           8          10
7330           7          13
7340          11          11
7350           8          10
7360           8          14
7370           6          12
7380           6          12
7390           8          12
7400          12          14
7410           9          13
7420           9          11
7430           9          11
7440           8           8
7450           8          10
7460           9           9
7470           8          10
7480           7           7
7490           6          12
7500           7          11
7510           7           9
7520           6           6
7530           6          10
7540           8          14
7550           5          11
7560           9          15
7570           9          13
7580           8          12
7590           8          10
7600           7           7
7610           8          10
7620           8           8
7630           8           8
7640           6          10
7650           6          12
7660           4           6
7670           9          11
7680           7           9
7690           5          11
7700           5           7
7710           5          11
7720           6          12
7730           7           9
7740           4           8
7750           6           8
7760           6          14
7770           7          11
7780          11          13
7790           8          14
7800           9          11
7810           8          10
7820           8          20
7830          10          18
7840           6          12
7850          14          16
7860          15          23
7870          10          14
7880          10          18
7890          12          18
7900           9          23
7910          10          18
7920           9          11
7930          10          16
7940           9          15
7950          10          18
7960           8          12
7970           4          12
7980           6          12
7990          10          12
8000           6          12
8010          12          16
8020           8          16
8030           9          11
8040           7          13
8050           5           9
8060           8          10
8070           9           9
8080           6           8
8090           7           7
8100           7           9
8110           5           5
8120           7           9
8130           7           9
8140           8          14
8150           9          11
8160           9          13
8170          10          14
8180          10          16
8190          11          15
8200           8          16
8210          12          14
8220          12          18
8230          11          19
8240          10          18
8250           8          14
8260           9          11
8270          11          21
8280          13          15
8290          10          16
8300          10          14
8310           7          13
8320           9          11
8330           7           9
8340          10          16
8350          11          17
8360          10          12
8370           7          15
8380           6          10
8390           8          10
8400           9          11
8410           7          13
8420           8          14
8430           7          13
8440           9          11
8450           7           9
8460           7          11
8470          11          15
8480           6          10
8490           7          15
8500           8          12
8510           7          13
8520           5          11
8530          10          10
8540           4          14
8550           7          11
8560           6          14
8570           5           9
8580           5          11
8590           9           9
8600           7           9
8610           8          14
8620           6          12
8630           9          11
8640           8          10
8650           8          12
8660           7           9
8670           5           7
8680           7           9
8690           7           9
8700           7          11
8710           8          12
8720          10          12
8730          11          13
8740          11          15
8750          13          13
8760          15          17
8770          11          13
8780           9           9
8790          10          14
8800          10          14
8810           9          13
8820          10          12
8830           7           9
8840           8           8
8850           9           9
8860           7           9
8870           6          14
8880           7           7
8890           9           9
8900           7           7
8910           7           9
8920           7           7
8930           6           8
8940           7           7
8950           6           6
8960           7          11
8970           6          10
8980           7           7
8990           5           7
9000           8          16
9010           9          11
9020          14          18
9030          11          13
9040          11          17
9050           9          17
9060          11          19
9070           9          13
9080          12          14
9090          16          18
9100          12          16
9110          13          17
9120          12          18
9130          10          18
9140          14          16
9150          16          18
9160          16          16
9170          13          17
9180          13          13
9190          14          14
9200          11          13
9210          14          14
9220          12          12
9230          11          15
9240          10          12
9250          13          17
9260           9          11
9270          11          13
9280          12          12
9290          10          14
9300          10          12
9310          12          14
9320          10          12
9330          11          13
9340           9          13
9350           8          12
9360           7          11
9370           9          15
9380           7          11
9390           8          10
9400           9          13
9410           8           8
9420          10          10
9430          11          13
9440          10          14
9450           7          13
9460           8          14
9470          11          11
9480           9          11
9490          11          11
9500          11          11
9510          10          14
9520           8          14
9530           8          10
9540           9          13
9550          11          13
9560          10          10
9570          10          10
9580           6          10
9590           9          13
9600           7           9
9610           5           5
9620           4           4
9630           8           8
9640           8          10
9650           6           8
9660           7           7
9670           4           8
9680           5           9
9690           4          10
9700           4          10
9710           5           7
9720           7           7
9730           6           6
9740           6           8
9750           9          11
9760           9           9
9770           7          13
9780           7           9
9790           5           7
9800           5           9
9810           8          14
9820           8          12
9830           9          13
9840           9          13
9850           7          11
9860          11          13
9870           9          11
9880          11          13
9890          10          12
9900           9          17
9910          12          14
9920          10          16
9930          10          16
9940          13          19
9950          10          14
9960           7           9
9970           6          10
9980           7          11
9990           8           8
10000           8          10
